wallet_address,max_count,sig
0x13C0DabEb938c21524C59CDc40BCB6fDB3618754,16,0x262e3080d34cf329f8d517b620b54662d65643c788277e5378a7e5218a04cc6c020fb41d7671b79e6a1054b5c5ebeed927ef464b018a9abff68b04386e72c8d61c
0x3F1a6E4E483aC29693A10B0Cf52Ad0a6087cb49A,16,0xd178cb8b4d54e171ceab0cd5b6bec081af0d5cf18a58e77054876dd35bce73aa3739e0659cb0058ebfcce9f3a11a1a3dbeab7e4fb9a737f1c1ac6a7b5c9095c51c
0x59B29f3F3DA678994358348E7a5a0D6ebb075C8B,16,0x1807dc1a373e7946c6b4552d0e6a4af48108e402c0a676462849250aa6fc6231152826b1a2c1686f7b5c97650b632417027c3b678a6c1fe28a098cafd0e82aa71b
0x259F962e77262eE8d97cc6a112D0E0321323ea0d,16,0xce9fd76a429f123e4c7bc63ff573f3879fbbe6f0311045bdd36c9e14f209f47136d7015deab9d4fadf5a8c71a6a62b3ae0af0c0e6dda5e6f86f88d2d05c4ce0f1b
0x02dB03D2C1781eb08bcBc0AA2986874e828eC1De,16,0xa8930e2b0c201f2e89bc9821f49bdd2a4c1010cac9962d3045c8acf0d6405864500e80e114437ecb8870fcbf9b79a9ea6cd56ed557cded34cd8fa31919dd19d91c
0x4fB497570ff3d6d3939dC3FCe10DAFdD08beF4c2,16,0x15c5177e8f18886794a68db12e8db67bbc245928cff6df669ca648a86036d9c83024ea46340f631f5b8d4756781cf8681ef445ca12fd32b10535f777a57c9b151b
0xE528D09B200349403ed4f469D39341f74835b4fe,16,0xc47fc3ca06d04d03381772950f62c9182bdaa43f122155cd5d746aae1336d7c70ba98c99f4a615060b091a3f57d53464edf7acda1e1bb1b336ff7bfc4ca356ad1b
0xbddb4D3fC6f4cd5aabf491F8C47eBC76eFB9eF08,16,0x70fa2c47f94ff62081f627ea9a818937575f8ed7a2821173b591527407662c74630f41373e58b47785901ffafbccd5255f552469a822b76c83f3a4bd44e94fad1c
0xdA73D6D0349f1cB7c62F6E887a3815A5D620BBB3,16,0xb884ffa6d7e9d0a8d7cabbb335a483d75e660cc3962d507972af36a8702ca9b607248b387953d712fb62fdda649f6dfe9e22cd981a37af80b521794fec1517461b
0x04c4a90801d1ef5aE8576A0A5bDd8EEAb362a644,16,0xe70c9666da3d48950eeeb55b07e39474bf95f0b24a5121806bcf05c785b07a966ac5344d29dcf0f0f6b4f71eeef0c04ed99ed32bfe6b62598288f2645e4975eb1b
0x78aaDc87018D5e04dEDd5EDf08be131ef4FFB392,16,0xeec620d371448d0fb1a30b99aa2aab56d0416e2cb6d10205b671d1c54b33f8cc777e4c72195daa7ca838dc7fa1e93edaff1c49dbcc4b432e04b2c92ae904e3c31c
